"country","state","city","year","long","lat","species_botanical_name","species_common_name","dbh"
"usa","indiana","bloomington","2022",-86.5348826057665,39.1449722523867,"ilex opaca","american holly",6.35
"usa","indiana","bloomington","2022",-86.5349630720364,39.1450845825717,"ilex opaca","american holly",6.35
"usa","indiana","bloomington","2022",-86.5348826057665,39.1450554599476,"ilex opaca","american holly",6.35
"usa","indiana","bloomington","2022",-86.5351079113237,39.1450471391964,"ilex opaca","american holly",6.35
"usa","indiana","bloomington","2022",-86.5349952585446,39.1450138561795,"ilex opaca","american holly",6.35
"usa","indiana","bloomington","2022",-86.534871876931,39.14513450704,"ilex opaca","american holly",6.35
"usa","indiana","bloomington","2022",-86.5374845208,39.168233147,"taxodium distichum","baldcypress",2.54
"usa","indiana","bloomington","2022",-86.5374892744,39.1681583328,"taxodium distichum","baldcypress",2.54
"usa","indiana","bloomington","2022",-86.5147018868,39.157465256,"taxodium distichum","baldcypress",2.54
"usa","indiana","bloomington","2022",-86.5219157725,39.1558440238,"taxodium distichum","baldcypress",2.54
"usa","indiana","bloomington","2022",-86.5374883237,39.1683050128,"taxodium distichum","baldcypress",2.54
"usa","indiana","bloomington","2022",-86.4751241823,39.1677147368,"taxodium distichum","baldcypress",5.08
"usa","indiana","bloomington","2022",-86.473697328,39.1739638334,"taxodium distichum","baldcypress",5.08
"usa","indiana","bloomington","2022",-86.5051357671,39.1257383704,"taxodium distichum","baldcypress",5.08
"usa","indiana","bloomington","2022",-86.5340474397,39.181760131,"taxodium distichum","baldcypress",5.08
"usa","indiana","bloomington","2022",-86.5355373161,39.1906930605,"taxodium distichum","baldcypress",5.08
"usa","indiana","bloomington","2022",-86.4751334518,39.167622969,"taxodium distichum","baldcypress",5.08
"usa","indiana","bloomington","2022",-86.5258964531,39.1553502773,"taxodium distichum","baldcypress",5.08
"usa","indiana","bloomington","2022",-86.505350629,39.1255838576,"taxodium distichum","baldcypress",5.08
"usa","indiana","bloomington","2022",-86.5007044908,39.136742242,"taxodium distichum","baldcypress",5.08
"usa","indiana","bloomington","2022",-86.5012024881,39.1278953747,"taxodium distichum","baldcypress",5.08
"usa","indiana","bloomington","2022",-86.5050704842,39.1406674124,"taxodium distichum","baldcypress",5.08
"usa","indiana","bloomington","2022",-86.5011254801,39.1279191593,"taxodium distichum","baldcypress",5.08
"usa","indiana","bloomington","2022",-86.5010392025,39.1279462627,"taxodium distichum","baldcypress",5.08
"usa","indiana","bloomington","2022",-86.5189029785,39.155916988,"taxodium distichum","baldcypress",5.08
"usa","indiana","bloomington","2022",-86.548349598,39.2054044192,"taxodium distichum","baldcypress",5.08
"usa","indiana","bloomington","2022",-86.5009244035,39.1279822162,"taxodium distichum","baldcypress",5.08
"usa","indiana","bloomington","2022",-86.5473386953,39.1789670438,"taxodium distichum","baldcypress",5.08
"usa","indiana","bloomington","2022",-86.534493088,39.181796057,"taxodium distichum","baldcypress",5.08
"usa","indiana","bloomington","2022",-86.534851305,39.1604272943,"taxodium distichum","baldcypress",5.08
"usa","indiana","bloomington","2022",-86.4751441474,39.1675610532,"taxodium distichum","baldcypress",5.08
"usa","indiana","bloomington","2022",-86.4751598342,39.1674864225,"taxodium distichum","baldcypress",5.08
"usa","indiana","bloomington","2022",-86.5047260083,39.1260433387,"taxodium distichum","baldcypress",5.08
"usa","indiana","bloomington","2022",-86.4751655385,39.1674289292,"taxodium distichum","baldcypress",5.08
"usa","indiana","bloomington","2022",-86.5344995053,39.1818839375,"taxodium distichum","baldcypress",5.08
"usa","indiana","bloomington","2022",-86.5188216922,39.1559142234,"taxodium distichum","baldcypress",5.08
"usa","indiana","bloomington","2022",-86.5045382418,39.1262273516,"taxodium distichum","baldcypress",5.08
"usa","indiana","bloomington","2022",-86.5054471267,39.125520061,"taxodium distichum","baldcypress",5.08
"usa","indiana","bloomington","2022",-86.5249989803,39.1562612899,"taxodium distichum","baldcypress",5.08
"usa","indiana","bloomington","2022",-86.5050378433,39.1258051169,"taxodium distichum","baldcypress",5.08
"usa","indiana","bloomington","2022",-86.505241772,39.1256609297,"taxodium distichum","baldcypress",5.08
"usa","indiana","bloomington","2022",-86.5448810744,39.1787186018,"taxodium distichum","baldcypress",5.08
"usa","indiana","bloomington","2022",-86.5625150102,39.1557239226,"taxodium distichum","baldcypress",5.08
"usa","indiana","bloomington","2022",-86.5447070933,39.1786959398,"taxodium distichum","baldcypress",5.08
"usa","indiana","bloomington","2022",-86.5413870728,39.1437322181,"taxodium distichum","baldcypress",5.08
"usa","indiana","bloomington","2022",-86.5629406935,39.1553319065,"taxodium distichum","baldcypress",5.08
"usa","indiana","bloomington","2022",-86.5613158398,39.1562999322,"taxodium distichum","baldcypress",5.08
"usa","indiana","bloomington","2022",-86.5447455973,39.1787628204,"taxodium distichum","baldcypress",5.08
"usa","indiana","bloomington","2022",-86.5626946956,39.1556188692,"taxodium distichum","baldcypress",5.08
"usa","indiana","bloomington","2022",-86.5628130598,39.1553523644,"taxodium distichum","baldcypress",5.08
"usa","indiana","bloomington","2022",-86.5612375641,39.1563606292,"taxodium distichum","baldcypress",5.08
"usa","indiana","bloomington","2022",-86.5112183928,39.1267449198,"taxodium distichum","baldcypress",5.08
"usa","indiana","bloomington","2022",-86.549288166635,39.1790054171888,"taxodium distichum","baldcypress",5.08
"usa","indiana","bloomington","2022",-86.5492023359468,39.1790074963726,"taxodium distichum","baldcypress",5.08
"usa","indiana","bloomington","2022",-86.544777684,39.1787086527,"taxodium distichum","baldcypress",5.08
"usa","indiana","bloomington","2022",-86.5445922943,39.1787539767,"taxodium distichum","baldcypress",5.08
"usa","indiana","bloomington","2022",-86.5448454226,39.1787622676,"taxodium distichum","baldcypress",5.08
"usa","indiana","bloomington","2022",-86.5629813366,39.1552589216,"taxodium distichum","baldcypress",5.08
"usa","indiana","bloomington","2022",-86.5448311618,39.178674936,"taxodium distichum","baldcypress",5.08
"usa","indiana","bloomington","2022",-86.5611294201,39.1564133397,"taxodium distichum","baldcypress",5.08
"usa","indiana","bloomington","2022",-86.5238828665995,39.154229531251,"taxodium distichum","baldcypress",6.35
"usa","indiana","bloomington","2022",-86.5607157695564,39.1361756874227,"taxodium distichum","baldcypress",6.985
"usa","indiana","bloomington","2022",-86.5380046970604,39.1469120030798,"taxodium distichum","baldcypress",7.62
"usa","indiana","bloomington","2022",-86.5380046970613,39.147038891075,"taxodium distichum","baldcypress",7.62
"usa","indiana","bloomington","2022",-86.5425272196,39.1425990983,"taxodium distichum","baldcypress",7.62
"usa","indiana","bloomington","2022",-86.5424445073,39.1426875807,"taxodium distichum","baldcypress",7.62
"usa","indiana","bloomington","2022",-86.562721791,39.1554131851,"taxodium distichum","baldcypress",7.62
