"country","state","city","year","long","lat","species_botanical_name","species_common_name","dbh"
"usa","georgia","atlanta","2015",-84.38923141,33.75596866,"zelkova serrata","japanese zelkova",20.32
"usa","georgia","atlanta","2015",-84.38927763,33.75601518,"zelkova serrata","japanese zelkova",17.78
"usa","georgia","atlanta","2015",-84.38959616,33.75628416,"zelkova serrata","japanese zelkova",25.4
"usa","georgia","atlanta","2015",-84.38954993,33.75623359,"zelkova serrata","japanese zelkova",25.4
"usa","georgia","atlanta","2015",-84.38910529,33.75693256,"zelkova serrata","japanese zelkova",25.4
"usa","georgia","atlanta","2015",-84.3895744,33.75724787,"zelkova serrata","japanese zelkova",55.88
"usa","georgia","atlanta","2015",-84.3896764,33.76091863,"acer rubrum","red maple",12.7
"usa","georgia","atlanta","2015",-84.38960374,33.76091733,"acer rubrum","red maple",12.7
"usa","georgia","atlanta","2015",-84.38957176,33.76091593,"acer rubrum","red maple",12.7
"usa","georgia","atlanta","2015",-84.38949651,33.76091681,"acer rubrum","red maple",12.7
"usa","georgia","atlanta","2015",-84.38949166,33.75714872,"acer campestre","hedge maple",15.24
"usa","georgia","atlanta","2015",-84.38918769,33.7568858,"zelkova serrata","japanese zelkova",53.34
"usa","georgia","atlanta","2015",-84.38973257,33.75648758,"zelkova serrata","japanese zelkova",27.94
"usa","georgia","atlanta","2015",-84.38976664,33.75651795,"zelkova serrata","japanese zelkova",22.86
"usa","georgia","atlanta","2015",-84.39018237,33.75683942,"zelkova serrata","japanese zelkova",30.48
"usa","georgia","atlanta","2015",-84.39014589,33.75680503,"zelkova serrata","japanese zelkova",30.48
"usa","georgia","atlanta","2015",-84.39071824,33.76092056,"acer buergerianum","trident maple",22.86
"usa","georgia","atlanta","2015",-84.39040584,33.76090643,"quercus phellos","willow oak",10.16
"usa","georgia","atlanta","2015",-84.39033885,33.76090655,"quercus phellos","willow oak",12.7
"usa","georgia","atlanta","2015",-84.39024814,33.76090743,"quercus phellos","willow oak",10.16
"usa","georgia","atlanta","2015",-84.39014387,33.76090762,"quercus phellos","willow oak",10.16
"usa","georgia","atlanta","2015",-84.38976893,33.76092137,"acer rubrum","red maple",12.7
"usa","georgia","atlanta","2015",-84.38971443,33.7609193,"acer rubrum","red maple",12.7
"usa","georgia","atlanta","2015",-84.38970774,33.75720509,"pyrus calleryana","callery pear",27.94
"usa","georgia","atlanta","2015",-84.38965687,33.75724165,"pyrus calleryana","callery pear",43.18
"usa","georgia","atlanta","2015",-84.39011968,33.75700166,"magnolia soulangeana","saucer magnolia",10.16
"usa","georgia","atlanta","2015",-84.39015843,33.75697323,"magnolia soulangeana","saucer magnolia",10.16
"usa","georgia","atlanta","2015",-84.39029654,33.7568919,"ulmus parvifolia","chinese elm",5.08
"usa","georgia","atlanta","2015",-84.3907179,33.75657905,"zelkova serrata","japanese zelkova",17.78
"usa","georgia","atlanta","2015",-84.39062676,33.75726105,"ulmus parvifolia","chinese elm",7.62
"usa","georgia","atlanta","2015",-84.39023953,33.75697261,"zelkova serrata","japanese zelkova",30.48
"usa","georgia","atlanta","2015",-84.38999348,33.75779385,"zelkova serrata","japanese zelkova",30.48
"usa","georgia","atlanta","2015",-84.38913954,33.76061564,"ulmus alata","winged elm",10.16
"usa","georgia","atlanta","2015",-84.37656284,33.76769357,"magnolia virginiana","sweetbay",2.54
"usa","georgia","atlanta","2015",-84.4004971,33.75056319,"pyrus calleryana","callery pear",35.56
"usa","georgia","atlanta","2015",-84.40046104,33.75060195,"pyrus calleryana","callery pear",33.02
"usa","georgia","atlanta","2015",-84.38191819,33.75592639,"ilex opaca","american holly",30.48
"usa","georgia","atlanta","2015",-84.38195288,33.7559291,"ilex opaca","american holly",30.48
"usa","georgia","atlanta","2015",-84.38197766,33.75593318,"ilex opaca","american holly",27.94
"usa","georgia","atlanta","2015",-84.38852331,33.75482471,"ilex opaca","american holly",27.94
"usa","georgia","atlanta","2015",-84.38835105,33.75510817,"ilex opaca","american holly",27.94
"usa","georgia","atlanta","2015",-84.38945761,33.76091614,"acer rubrum","red maple",10.16
"usa","georgia","atlanta","2015",-84.38938282,33.7609152,"acer rubrum","red maple",10.16
"usa","georgia","atlanta","2015",-84.38934649,33.76091381,"acer rubrum","red maple",12.7
"usa","georgia","atlanta","2015",-84.39242949,33.7470342,"quercus phellos","willow oak",43.18
"usa","georgia","atlanta","2015",-84.39251738,33.74702945,"quercus phellos","willow oak",43.18
"usa","georgia","atlanta","2015",-84.39258986,33.74706666,"quercus phellos","willow oak",55.88
"usa","georgia","atlanta","2015",-84.39255707,33.7471085,"quercus phellos","willow oak",33.02
"usa","georgia","atlanta","2015",-84.39251106,33.74712727,"quercus phellos","willow oak",35.56
"usa","georgia","atlanta","2015",-84.39244656,33.74711969,"quercus phellos","willow oak",27.94
"usa","georgia","atlanta","2015",-84.39181129,33.76430342,"ilex cornuta","chinese holly",5.08
"usa","georgia","atlanta","2015",-84.38775891,33.75977081,"ginkgo biloba","maidenhair tree",17.78
"usa","georgia","atlanta","2015",-84.38781674,33.75976513,"ginkgo biloba","maidenhair tree",22.86
"usa","georgia","atlanta","2015",-84.3878813,33.75976875,"ginkgo biloba","maidenhair tree",27.94
