"country","state","city","year","long","lat","species_botanical_name","species_common_name","dbh"
"usa","california","cupertino","2020",-122.02405197,37.3147268,"rhus lancea","african sumac",68.58
"usa","california","cupertino","2020",-122.03287381,37.32506911,"rhus lancea","african sumac",38.1
"usa","california","cupertino","2020",-122.046887,37.3125127,"picea pungens","blue spruce",15.24
"usa","california","cupertino","2020",-122.04688947,37.31244647,"picea pungens","blue spruce",15.24
"usa","california","cupertino","2020",-122.0390073,37.32811582,"rhus lancea","african sumac",20.32
"usa","california","cupertino","2020",-122.06169951,37.33325371,"rhus lancea","african sumac",15.24
"usa","california","cupertino","2020",-122.02741758,37.31121812,"rhus lancea","african sumac",45.72
"usa","california","cupertino","2020",-121.99743511,37.32040469,"picea pungens","blue spruce",15.24
"usa","california","cupertino","2020",-122.05409219,37.31202337,"rhus lancea","african sumac",35.56
"usa","california","cupertino","2020",-122.05964335,37.31046499,"rhus lancea","african sumac",48.26
"usa","california","cupertino","2020",-122.05594561,37.30819556,"rhus lancea","african sumac",30.48
"usa","california","cupertino","2020",-122.01977884,37.32086853,"rhus lancea","african sumac",45.72
"usa","california","cupertino","2020",-122.0596182,37.30780915,"rhus lancea","african sumac",33.02
"usa","california","cupertino","2020",-122.05539192,37.30733266,"rhus lancea","african sumac",40.64
"usa","california","cupertino","2020",-122.05447858,37.30723997,"rhus lancea","african sumac",45.72
"usa","california","cupertino","2020",-122.01972535,37.31991501,"rhus lancea","african sumac",50.8
"usa","california","cupertino","2020",-122.04253955,37.31277738,"rhus lancea","african sumac",25.4
"usa","california","cupertino","2020",-122.04133143,37.31490603,"rhus lancea","african sumac",53.34
"usa","california","cupertino","2020",-122.04132705,37.31481807,"rhus lancea","african sumac",7.62
"usa","california","cupertino","2020",-122.05502636,37.3072509,"rhus lancea","african sumac",50.8
"usa","california","cupertino","2020",-122.07002938,37.32897638,"picea pungens","blue spruce",48.26
"usa","california","cupertino","2020",-122.06527182,37.314539,"rhus lancea","african sumac",55.88
"usa","california","cupertino","2020",-122.06529727,37.31448928,"rhus lancea","african sumac",35.56
"usa","california","cupertino","2020",-122.06337396,37.3269471,"rhus lancea","african sumac",33.02
"usa","california","cupertino","2020",-122.06346051,37.32694595,"rhus lancea","african sumac",27.94
"usa","california","cupertino","2020",-122.06354361,37.32694907,"rhus lancea","african sumac",25.4
"usa","california","cupertino","2020",-122.06397559,37.32699128,"rhus lancea","african sumac",27.94
"usa","california","cupertino","2020",-122.06404447,37.32699036,"rhus lancea","african sumac",25.4
"usa","california","cupertino","2020",-122.06412446,37.32701327,"rhus lancea","african sumac",48.26
"usa","california","cupertino","2020",-122.02464863,37.31362959,"rhus lancea","african sumac",48.26
"usa","california","cupertino","2020",-122.02020496,37.31230227,"ulmus parvifolia","chinese elm",50.8
"usa","california","cupertino","2020",-122.01541118,37.31384962,"ginkgo biloba","maidenhair tree",25.4
"usa","california","cupertino","2020",-122.0212265,37.31150693,"quercus suber","cork oak",5.08
"usa","california","cupertino","2020",-122.01802795,37.31051684,"fraxinus velutina","velvet ash",96.52
"usa","california","cupertino","2020",-122.02139478,37.31788553,"pyrus calleryana","callery pear",15.24
"usa","california","cupertino","2020",-122.01238965,37.3159903,"pistacia chinensis","chinese pistachio",15.24
"usa","california","cupertino","2020",-122.01879879,37.32088171,"pistacia chinensis","chinese pistachio",27.94
"usa","california","cupertino","2020",-122.01509514,37.3200856,"pyrus kawakamii","evergreen pear",27.94
"usa","california","cupertino","2020",-122.0151071,37.32004769,"pyrus kawakamii","evergreen pear",30.48
"usa","california","cupertino","2020",-122.01514267,37.31998209,"pyrus kawakamii","evergreen pear",33.02
"usa","california","cupertino","2020",-122.01520632,37.31983004,"prunus cerasifera","cherry plum",25.4
"usa","california","cupertino","2020",-122.0152636,37.31969571,"lagerstroemia indica","crape myrtle",25.4
"usa","california","cupertino","2020",-122.01536015,37.31942629,"lagerstroemia indica","crape myrtle",12.7
"usa","california","cupertino","2020",-122.01547409,37.31924135,"lagerstroemia indica","crape myrtle",35.56
