"country","state","city","year","long","lat","species_botanical_name","species_common_name","dbh"
"usa","texas","dallas","2022",-96.76384528,32.99119377,"platanus occidentalis","sycamore",2.54
"usa","texas","dallas","2022",-96.81724376,32.89493921,"liquidambar styraciflua","american sweetgum",54.61
"usa","texas","dallas","2022",-96.79741155,32.6821045,"fraxinus pennsylvanica","green ash",84.455
"usa","texas","dallas","2022",-96.79249084,32.95562374,"ulmus crassifolia","cedar elm",2.54
"usa","texas","dallas","2022",-96.86277032,32.81410523,"prunus mexicana","mexican plum",5.08
"usa","texas","dallas","2022",-96.6412039,32.7163581,"ilex spp.","holly spp.",5.08
"usa","texas","dallas","2022",-96.87827031,32.84995998,"fraxinus pennsylvanica","green ash",40.64
"usa","texas","dallas","2022",-96.72959338,32.70828885,"fraxinus pennsylvanica","green ash",27.94
"usa","texas","dallas","2022",-96.87850683,32.85046523,"fraxinus pennsylvanica","green ash",22.86
"usa","texas","dallas","2022",-96.8823663,32.84350198,"fraxinus pennsylvanica","green ash",33.02
"usa","texas","dallas","2022",-96.8801821,32.78839263,"fraxinus americana","white ash",30.48
"usa","texas","dallas","2022",-96.77114856,32.76212342,"carya illinoinensis","hardy pecan",8.89
"usa","texas","dallas","2022",-96.79079604,33.00744406,"quercus polymorpha","mexican white oak",2.54
"usa","texas","dallas","2022",-96.80501846,32.91339055,"platanus occidentalis","sycamore",2.54
"usa","texas","dallas","2022",-96.81724376,32.89492457,"fraxinus pennsylvanica","green ash",49.53
"usa","texas","dallas","2022",-96.87832116,32.84987002,"fraxinus pennsylvanica","green ash",35.56
"usa","texas","dallas","2022",-96.83977893,33.00996582,"ulmus crassifolia","cedar elm",2.54
"usa","texas","dallas","2022",-96.86271728,32.81411655,"prunus mexicana","mexican plum",5.08
"usa","texas","dallas","2022",-96.64127356,32.71639224,"quercus buckleyi","texas red oak",5.08
"usa","texas","dallas","2022",-96.87837833,32.84949609,"fraxinus pennsylvanica","green ash",11.43
"usa","texas","dallas","2022",-96.87882612,32.8499125,"fraxinus pennsylvanica","green ash",39.37
"usa","texas","dallas","2022",-96.86561074,32.8544635,"fraxinus pennsylvanica","green ash",40.64
"usa","texas","dallas","2022",-96.87458987,32.85157992,"fraxinus pennsylvanica","green ash",64.77
"usa","texas","dallas","2022",-96.77849883,32.92144296,"fraxinus pennsylvanica","green ash",25.4
"usa","texas","dallas","2022",-96.83963042,32.67099655,"fraxinus americana","white ash",45.085
"usa","texas","dallas","2022",-96.73997822,32.87285202,"quercus buckleyi","texas red oak",5.08
"usa","texas","dallas","2022",-96.81718475,32.89492907,"fraxinus pennsylvanica","green ash",38.1
"usa","texas","dallas","2022",-96.72974334,32.91389669,"ulmus crassifolia","cedar elm",2.54
"usa","texas","dallas","2022",-96.86263084,32.8141257,"prunus mexicana","mexican plum",5.08
"usa","texas","dallas","2022",-96.6413376,32.71640708,"ilex spp.","holly spp.",5.08
"usa","texas","dallas","2022",-96.87803155,32.85013454,"fraxinus pennsylvanica","green ash",16.51
"usa","texas","dallas","2022",-96.73998475,32.87277992,"ulmus americana","american elm",5.08
"usa","texas","dallas","2022",-96.79072093,33.00746881,"quercus polymorpha","mexican white oak",2.54
"usa","texas","dallas","2022",-96.76240318,32.91116009,"ulmus crassifolia","cedar elm",2.54
"usa","texas","dallas","2022",-96.86257213,32.81413206,"prunus mexicana","mexican plum",5.08
"usa","texas","dallas","2022",-96.64142238,32.71639249,"chilopsis linearis","desert willow",5.08
"usa","texas","dallas","2022",-96.73997772,32.87271883,"quercus buckleyi","texas red oak",5.08
"usa","texas","dallas","2022",-96.79084432,33.0074868,"quercus polymorpha","mexican white oak",2.54
"usa","texas","dallas","2022",-96.87805774,32.85017971,"fraxinus pennsylvanica","green ash",15.24
"usa","texas","dallas","2022",-96.87847174,32.84947777,"fraxinus pennsylvanica","green ash",13.335
"usa","texas","dallas","2022",-96.87799303,32.85024726,"fraxinus pennsylvanica","green ash",22.86
"usa","texas","dallas","2022",-96.76239245,32.911365,"ulmus crassifolia","cedar elm",2.54
"usa","texas","dallas","2022",-96.87849273,32.84950774,"fraxinus pennsylvanica","green ash",12.065
"usa","texas","dallas","2022",-96.86239076,32.81417587,"prunus mexicana","mexican plum",5.08
"usa","texas","dallas","2022",-96.64145136,32.71635022,"chilopsis linearis","desert willow",5.08
"usa","texas","dallas","2022",-96.87969325,32.84968542,"fraxinus pennsylvanica","green ash",25.4
"usa","texas","dallas","2022",-96.8625384,32.85322861,"fraxinus americana","white ash",39.37
"usa","texas","dallas","2022",-96.74006408,32.87277182,"platanus occidentalis","sycamore",5.08
"usa","texas","dallas","2022",-96.78045152,32.98041703,"quercus polymorpha","mexican white oak",2.54
"usa","texas","dallas","2022",-96.81332265,33.01058443,"ulmus crassifolia","cedar elm",2.54
"usa","texas","dallas","2022",-96.86233333,32.81418272,"cercis canadensis","eastern redbud",5.08
"usa","texas","dallas","2022",-96.64146068,32.71629998,"prunus caroliniana","carolina laurel cherry",5.08
"usa","texas","dallas","2022",-96.78967326,32.93874616,"quercus polymorpha","mexican white oak",2.54
"usa","texas","dallas","2022",-96.87803784,32.85023598,"fraxinus pennsylvanica","green ash",20.32
"usa","texas","dallas","2022",-96.73995406,32.87251983,"prunus caroliniana","carolina laurel cherry",5.08
"usa","texas","dallas","2022",-96.87966011,32.84967396,"fraxinus pennsylvanica","green ash",20.32
"usa","texas","dallas","2022",-96.81338434,33.01056419,"ulmus crassifolia","cedar elm",2.54
"usa","texas","dallas","2022",-96.86237435,32.81412246,"cercis canadensis","eastern redbud",5.08
"usa","texas","dallas","2022",-96.64156571,32.71626256,"juniperus virginiana","eastern redcedar",5.08
"usa","texas","dallas","2022",-96.80934385,33.00630446,"quercus polymorpha","mexican white oak",2.54
