"country","state","city","year","long","lat","species_botanical_name","species_common_name","dbh"
"usa","california","santa monica","2023",-118.5052877,34.03599284,"magnolia grandiflora","southern magnolia",63.5
"usa","california","santa monica","2023",-118.5051418,34.03584663,"magnolia grandiflora","southern magnolia",66.04
"usa","california","santa monica","2023",-118.5063521,34.02282569,"melaleuca quinquenervia","broad-leaved paperbark",17.78
"usa","california","santa monica","2023",-118.5062894,34.02278551,"melaleuca quinquenervia","broad-leaved paperbark",30.48
"usa","california","santa monica","2023",-118.5062515,34.02277289,"melaleuca quinquenervia","broad-leaved paperbark",17.78
"usa","california","santa monica","2023",-118.5062273,34.02272118,"melaleuca quinquenervia","broad-leaved paperbark",17.78
"usa","california","santa monica","2023",-118.5062093,34.0227137,"melaleuca quinquenervia","broad-leaved paperbark",25.4
"usa","california","santa monica","2023",-118.5063206,34.02291793,"ficus microcarpa","malayan banyan",86.36
"usa","california","santa monica","2023",-118.5062365,34.0228315,"ficus microcarpa","malayan banyan",60.96
"usa","california","santa monica","2023",-118.5061434,34.02277068,"ficus microcarpa","malayan banyan",71.12
"usa","california","santa monica","2023",-118.5063211,34.02305499,"lophostemon confertus","brush box",2.54
"usa","california","santa monica","2023",-118.5062333,34.02309345,"liquidambar styraciflua","american sweetgum",55.88
"usa","california","santa monica","2023",-118.5060791,34.02324916,"liquidambar styraciflua","american sweetgum",66.04
"usa","california","santa monica","2023",-118.5064325,34.0228528,"ficus microcarpa","malayan banyan",99.06
"usa","california","santa monica","2023",-118.5063181,34.02269758,"ficus microcarpa","malayan banyan",81.28
"usa","california","santa monica","2023",-118.5068893,34.02257787,"liquidambar styraciflua","american sweetgum",50.8
"usa","california","santa monica","2023",-118.5067531,34.02270114,"liquidambar styraciflua","american sweetgum",63.5
"usa","california","santa monica","2023",-118.5066095,34.02282782,"liquidambar styraciflua","american sweetgum",60.96
"usa","california","santa monica","2023",-118.5062342,34.02262724,"ficus microcarpa","malayan banyan",73.66
"usa","california","santa monica","2023",-118.5060068,34.02265125,"ficus microcarpa","malayan banyan",73.66
